team1,team2,team1_score,team2_score,season,matched_played1,total_point1,matched_played2,total_point2,Pld1,W1,L1,D1,Pts1,Pld2,W2,L2,D2,Pts2
bengaluru bulls,telugu titans,39.0,38.0,season 2,16.0,508.0,16.0,586.0,14.0,9.0,5.0,0.0,48.0,14.0,8.0,3.0,3.0,50.0
u mumba,patna pirates,35.0,18.0,season 2,16.0,489.0,16.0,444.0,14.0,12.0,2.0,0.0,60.0,14.0,7.0,6.0,1.0,41.0
telugu titans,patna pirates,34.0,26.0,season 2,16.0,586.0,16.0,444.0,14.0,8.0,3.0,3.0,50.0,14.0,7.0,6.0,1.0,41.0
u mumba,bengaluru bulls,36.0,30.0,season 2,16.0,489.0,16.0,508.0,14.0,12.0,2.0,0.0,60.0,14.0,9.0,5.0,0.0,48.0
u mumba,telugu titans,27.0,25.0,season 3,16.0,502.0,14.0,427.0,14.0,12.0,2.0,0.0,60.0,14.0,7.0,7.0,0.0,38.0
bengaluru bulls,dabang delhi,35.0,29.0,season 3,14.0,362.0,14.0,384.0,14.0,2.0,12.0,0.0,14.0,14.0,1.0,12.0,1.0,11.0
jaipur pink panthers,u mumba,27.0,18.0,season 3,14.0,364.0,16.0,502.0,14.0,4.0,8.0,2.0,28.0,14.0,12.0,2.0,0.0,60.0
telugu titans,puneri paltan,27.0,26.0,season 3,14.0,427.0,16.0,510.0,14.0,7.0,7.0,0.0,38.0,14.0,7.0,4.0,3.0,48.0
patna pirates,jaipur pink panthers,29.0,28.0,season 3,16.0,594.0,14.0,364.0,14.0,10.0,2.0,2.0,58.0,14.0,4.0,8.0,2.0,28.0
telugu titans,dabang delhi,45.0,34.0,season 3,14.0,427.0,14.0,384.0,14.0,7.0,7.0,0.0,38.0,14.0,1.0,12.0,1.0,11.0
bengal warriors,telugu titans,25.0,17.0,season 3,16.0,460.0,14.0,427.0,14.0,9.0,5.0,0.0,47.0,14.0,7.0,7.0,0.0,38.0
patna pirates,bengaluru bulls,33.0,24.0,season 3,16.0,594.0,14.0,362.0,14.0,10.0,2.0,2.0,58.0,14.0,2.0,12.0,0.0,14.0
puneri paltan,dabang delhi,38.0,20.0,season 3,16.0,510.0,14.0,384.0,14.0,7.0,4.0,3.0,48.0,14.0,1.0,12.0,1.0,11.0
bengal warriors,bengaluru bulls,34.0,24.0,season 3,16.0,460.0,14.0,362.0,14.0,9.0,5.0,0.0,47.0,14.0,2.0,12.0,0.0,14.0
u mumba,dabang delhi,30.0,17.0,season 3,16.0,502.0,14.0,384.0,14.0,12.0,2.0,0.0,60.0,14.0,1.0,12.0,1.0,11.0
bengaluru bulls,jaipur pink panthers,36.0,26.0,season 3,14.0,362.0,14.0,364.0,14.0,2.0,12.0,0.0,14.0,14.0,4.0,8.0,2.0,28.0
patna pirates,u mumba,40.0,26.0,season 3,16.0,594.0,16.0,502.0,14.0,10.0,2.0,2.0,58.0,14.0,12.0,2.0,0.0,60.0
telugu titans,bengaluru bulls,35.0,26.0,season 3,14.0,427.0,14.0,362.0,14.0,7.0,7.0,0.0,38.0,14.0,2.0,12.0,0.0,14.0
bengal warriors,puneri paltan,33.0,28.0,season 3,16.0,460.0,16.0,510.0,14.0,9.0,5.0,0.0,47.0,14.0,7.0,4.0,3.0,48.0
jaipur pink panthers,dabang delhi,39.0,34.0,season 3,14.0,364.0,14.0,384.0,14.0,4.0,8.0,2.0,28.0,14.0,1.0,12.0,1.0,11.0
patna pirates,telugu titans,29.0,25.0,season 3,16.0,594.0,14.0,427.0,14.0,10.0,2.0,2.0,58.0,14.0,7.0,7.0,0.0,38.0
bengal warriors,dabang delhi,34.0,17.0,season 3,16.0,460.0,14.0,384.0,14.0,9.0,5.0,0.0,47.0,14.0,1.0,12.0,1.0,11.0
patna pirates,bengal warriors,36.0,31.0,season 3,16.0,594.0,16.0,460.0,14.0,10.0,2.0,2.0,58.0,14.0,9.0,5.0,0.0,47.0
u mumba,bengaluru bulls,29.0,28.0,season 3,16.0,502.0,14.0,362.0,14.0,12.0,2.0,0.0,60.0,14.0,2.0,12.0,0.0,14.0
bengal warriors,jaipur pink panthers,34.0,20.0,season 3,16.0,460.0,14.0,364.0,14.0,9.0,5.0,0.0,47.0,14.0,4.0,8.0,2.0,28.0
patna pirates,dabang delhi,47.0,34.0,season 3,16.0,594.0,14.0,384.0,14.0,10.0,2.0,2.0,58.0,14.0,1.0,12.0,1.0,11.0
telugu titans,jaipur pink panthers,27.0,25.0,season 3,14.0,427.0,14.0,364.0,14.0,7.0,7.0,0.0,38.0,14.0,4.0,8.0,2.0,28.0
u mumba,puneri paltan,29.0,27.0,season 3,16.0,502.0,16.0,510.0,14.0,12.0,2.0,0.0,60.0,14.0,7.0,4.0,3.0,48.0
u mumba,bengal warriors,32.0,21.0,season 3,16.0,502.0,16.0,460.0,14.0,12.0,2.0,0.0,60.0,14.0,9.0,5.0,0.0,47.0
puneri paltan,bengaluru bulls,29.0,27.0,season 3,16.0,510.0,14.0,362.0,14.0,7.0,4.0,3.0,48.0,14.0,2.0,12.0,0.0,14.0
patna pirates,bengal warriors,32.0,27.0,season 3,16.0,594.0,16.0,460.0,14.0,10.0,2.0,2.0,58.0,14.0,9.0,5.0,0.0,47.0
jaipur pink panthers,telugu titans,35.0,26.0,season 3,14.0,364.0,14.0,427.0,14.0,4.0,8.0,2.0,28.0,14.0,7.0,7.0,0.0,38.0
patna pirates,bengaluru bulls,36.0,32.0,season 3,16.0,594.0,14.0,362.0,14.0,10.0,2.0,2.0,58.0,14.0,2.0,12.0,0.0,14.0
dabang delhi,bengaluru bulls,35.0,21.0,season 3,14.0,384.0,14.0,362.0,14.0,1.0,12.0,1.0,11.0,14.0,2.0,12.0,0.0,14.0
bengal warriors,telugu titans,32.0,28.0,season 3,16.0,460.0,14.0,427.0,14.0,9.0,5.0,0.0,47.0,14.0,7.0,7.0,0.0,38.0
u mumba,patna pirates,34.0,28.0,season 3,16.0,502.0,16.0,594.0,14.0,12.0,2.0,0.0,60.0,14.0,10.0,2.0,2.0,58.0
