team1,team2,team1_score,team2_score,season,matched_played1,total_point1,matched_played2,total_point2
u mumba,telugu titans,38.0,22.0,season 3,16.0,502.0,14.0,427.0
puneri paltan,bengal warriors,43.0,19.0,season 3,16.0,510.0,16.0,460.0
u mumba,dabang delhi,36.0,20.0,season 3,16.0,502.0,14.0,384.0
patna pirates,puneri paltan,40.0,21.0,season 3,16.0,594.0,16.0,510.0
u mumba,bengal warriors,41.0,29.0,season 3,16.0,502.0,16.0,460.0
puneri paltan,bengal warriors,31.0,27.0,season 3,16.0,510.0,16.0,460.0
patna pirates,u mumba,31.0,28.0,season 3,16.0,594.0,16.0,502.0
puneri paltan,telugu titans,28.0,24.0,season 4,16.0,515.0,16.0,506.0
u mumba,jaipur pink panthers,36.0,34.0,season 4,14.0,399.0,16.0,475.0
bengaluru bulls,bengal warriors,24.0,23.0,season 4,14.0,360.0,14.0,378.0
puneri paltan,u mumba,41.0,19.0,season 4,16.0,515.0,14.0,399.0
bengal warriors,dabang delhi,31.0,23.0,season 4,14.0,378.0,14.0,419.0
patna pirates,puneri paltan,30.0,24.0,season 4,16.0,492.0,16.0,515.0
jaipur pink panthers,telugu titans,28.0,24.0,season 4,16.0,475.0,16.0,506.0
patna pirates,u mumba,36.0,34.0,season 4,16.0,492.0,14.0,399.0
u mumba,dabang delhi,27.0,25.0,season 4,14.0,399.0,14.0,419.0
jaipur pink panthers,bengal warriors,36.0,33.0,season 4,16.0,475.0,14.0,378.0
dabang delhi,bengaluru bulls,32.0,24.0,season 4,14.0,419.0,14.0,360.0
puneri paltan,jaipur pink panthers,33.0,28.0,season 4,16.0,515.0,16.0,475.0
patna pirates,telugu titans,35.0,33.0,season 4,16.0,492.0,16.0,506.0
u mumba,bengal warriors,26.0,18.0,season 4,14.0,399.0,14.0,378.0
bengaluru bulls,puneri paltan,29.0,27.0,season 4,14.0,360.0,16.0,515.0
telugu titans,bengal warriors,35.0,18.0,season 4,16.0,506.0,14.0,378.0
bengaluru bulls,telugu titans,30.0,28.0,season 4,14.0,360.0,16.0,506.0
jaipur pink panthers,dabang delhi,51.0,26.0,season 4,16.0,475.0,14.0,419.0
telugu titans,u mumba,35.0,30.0,season 4,16.0,506.0,14.0,399.0
patna pirates,bengaluru bulls,31.0,25.0,season 4,16.0,492.0,14.0,360.0
u mumba,bengaluru bulls,24.0,23.0,season 4,14.0,399.0,14.0,360.0
patna pirates,bengal warriors,35.0,21.0,season 4,16.0,492.0,14.0,378.0
puneri paltan,bengal warriors,38.0,31.0,season 4,16.0,515.0,14.0,378.0
dabang delhi,patna pirates,33.0,15.0,season 4,14.0,419.0,16.0,492.0
telugu titans,dabang delhi,28.0,23.0,season 4,16.0,506.0,14.0,419.0
jaipur pink panthers,patna pirates,26.0,21.0,season 4,16.0,475.0,16.0,492.0
telugu titans,bengaluru bulls,32.0,24.0,season 4,16.0,506.0,14.0,360.0
jaipur pink panthers,bengaluru bulls,24.0,22.0,season 4,16.0,475.0,14.0,360.0
u mumba,jaipur pink panthers,29.0,23.0,season 4,14.0,399.0,16.0,475.0
patna pirates,bengaluru bulls,38.0,23.0,season 4,16.0,492.0,14.0,360.0
telugu titans,puneri paltan,32.0,29.0,season 4,16.0,506.0,16.0,515.0
dabang delhi,bengaluru bulls,40.0,20.0,season 4,14.0,419.0,14.0,360.0
bengal warriors,jaipur pink panthers,32.0,25.0,season 4,14.0,378.0,16.0,475.0
patna pirates,u mumba,34.0,24.0,season 4,16.0,492.0,14.0,399.0
jaipur pink panthers,puneri paltan,33.0,27.0,season 4,16.0,475.0,16.0,515.0
patna pirates,bengal warriors,33.0,27.0,season 4,16.0,492.0,14.0,378.0
telugu titans,dabang delhi,36.0,28.0,season 4,16.0,506.0,14.0,419.0
bengaluru bulls,bengal warriors,27.0,25.0,season 4,14.0,360.0,14.0,378.0
u mumba,puneri paltan,34.0,31.0,season 4,14.0,399.0,16.0,515.0
jaipur pink panthers,dabang delhi,24.0,22.0,season 4,16.0,475.0,14.0,419.0
jaipur pink panthers,patna pirates,29.0,22.0,season 4,16.0,475.0,16.0,492.0
bengal warriors,u mumba,31.0,27.0,season 4,14.0,378.0,14.0,399.0
patna pirates,puneri paltan,31.0,28.0,season 4,16.0,492.0,16.0,515.0
bengaluru bulls,u mumba,28.0,27.0,season 4,14.0,360.0,14.0,399.0
dabang delhi,bengal warriors,41.0,20.0,season 4,14.0,419.0,14.0,378.0
telugu titans,jaipur pink panthers,35.0,23.0,season 4,16.0,506.0,16.0,475.0
patna pirates,dabang delhi,32.0,31.0,season 4,16.0,492.0,14.0,419.0
telugu titans,patna pirates,46.0,25.0,season 4,16.0,506.0,16.0,492.0
puneri paltan,dabang delhi,39.0,34.0,season 4,16.0,515.0,14.0,419.0
puneri paltan,bengaluru bulls,36.0,33.0,season 4,16.0,515.0,14.0,360.0
u mumba,dabang delhi,38.0,34.0,season 4,14.0,399.0,14.0,419.0
patna pirates,puneri paltan,37.0,33.0,season 4,16.0,492.0,16.0,515.0
jaipur pink panthers,telugu titans,34.0,24.0,season 4,16.0,475.0,16.0,506.0
puneri paltan,telugu titans,40.0,35.0,season 4,16.0,515.0,16.0,506.0
patna pirates,jaipur pink panthers,37.0,29.0,season 4,16.0,492.0,16.0,475.0
puneri paltan,u mumba,33.0,21.0,season 5,24.0,766.0,22.0,707.0
dabang delhi,jaipur pink panthers,30.0,26.0,season 5,,,,
patna pirates,telugu titans,35.0,29.0,season 5,26.0,1050.0,22.0,696.0
u mumba,haryana steelers,29.0,28.0,season 5,22.0,707.0,23.0,727.0
bengaluru bulls,telugu titans,31.0,21.0,season 5,22.0,689.0,22.0,696.0
gujarat fortunegiants,dabang delhi,26.0,20.0,season 5,24.0,775.0,,
u.p. yoddha,telugu titans,31.0,18.0,season 5,23.0,762.0,22.0,696.0
bengal warriors,telugu titans,30.0,24.0,season 5,24.0,749.0,22.0,696.0
patna pirates,telugu titans,43.0,36.0,season 5,26.0,1050.0,22.0,696.0
bengaluru bulls,tamil thalaivas,32.0,31.0,season 5,22.0,689.0,22.0,681.0
puneri paltan,dabang delhi,26.0,21.0,season 5,24.0,766.0,,
u mumba,dabang delhi,36.0,22.0,season 5,22.0,707.0,,
u.p. yoddha,bengaluru bulls,32.0,27.0,season 5,23.0,762.0,22.0,689.0
bengal warriors,u.p. yoddha,40.0,20.0,season 5,24.0,749.0,23.0,762.0
patna pirates,bengaluru bulls,46.0,32.0,season 5,26.0,1050.0,22.0,689.0
haryana steelers,gujarat fortunegiants,32.0,20.0,season 5,23.0,727.0,24.0,775.0
bengaluru bulls,bengal warriors,31.0,25.0,season 5,22.0,689.0,24.0,749.0
jaipur pink panthers,puneri paltan,30.0,28.0,season 5,,,24.0,766.0
tamil thalaivas,bengaluru bulls,29.0,24.0,season 5,22.0,681.0,22.0,689.0
gujarat fortunegiants,u mumba,39.0,21.0,season 5,24.0,775.0,22.0,707.0
u.p. yoddha,telugu titans,39.0,32.0,season 5,23.0,762.0,22.0,696.0
gujarat fortunegiants,dabang delhi,29.0,25.0,season 5,24.0,775.0,,
gujarat fortunegiants,jaipur pink panthers,27.0,20.0,season 5,24.0,775.0,,
puneri paltan,bengal warriors,34.0,17.0,season 5,24.0,766.0,24.0,749.0
gujarat fortunegiants,bengaluru bulls,27.0,24.0,season 5,24.0,775.0,22.0,689.0
gujarat fortunegiants,telugu titans,29.0,19.0,season 5,24.0,775.0,22.0,696.0
dabang delhi,tamil thalaivas,30.0,29.0,season 5,,,22.0,681.0
u mumba,u.p. yoddha,37.0,34.0,season 5,22.0,707.0,23.0,762.0
jaipur pink panthers,bengaluru bulls,30.0,28.0,season 5,,,22.0,689.0
